,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
296,mount isa,75,AU,1612652002,100,-20.7333,139.5,75.2,6.91
297,surt,36,LY,1612652160,35,31.2089,16.5887,66.85,14.63
298,svencionys,21,LT,1612652161,94,55.15,26.1667,-0.69,4.23
299,sur,0,OM,1612652162,64,22.5667,59.5289,62.67,6.44
300,aksu,44,CN,1612651989,80,41.1231,80.2644,27.36,3.24
301,axim,31,GH,1612651883,89,4.8699,-2.2405,79.7,8.34
302,tigil,100,RU,1612651944,91,57.8,158.6667,18.1,27.87
303,manadhoo,7,MV,1612652162,74,5.7667,73.3833,81.28,8.59
304,sioux lookout,90,CA,1612652004,64,50.1001,-91.917,-11.2,13.8
305,emet,0,TR,1612652163,58,39.343,29.2585,45.84,5.7
306,boa vista,20,BR,1612652163,58,2.8197,-60.6733,86.0,5.75
307,mishelevka,82,RU,1612652163,89,52.8575,103.1719,2.75,4.12
308,nuevo ideal,0,MX,1612652163,16,24.8875,-105.0728,72.84,8.86
309,atambua,91,ID,1612652138,87,-9.1061,124.8925,76.14,1.48
310,uzventis,90,LT,1612652163,85,55.7803,22.6547,10.4,3.0
311,camapua,29,BR,1612652163,71,-19.5314,-54.0439,72.9,6.38
312,fowa,70,NG,1612652163,16,8.9167,6.4,83.35,6.13
313,yulara,0,AU,1612651689,33,-25.2406,130.9889,75.2,10.36
314,bubaque,73,GW,1612651869,54,11.2833,-15.8333,80.46,17.69
315,marienburg,3,PL,1612652164,81,54.0359,19.0266,12.0,4.0
316,svetlogorsk,31,BY,1612652164,93,52.6333,29.7333,1.38,5.3
317,marawi,100,PH,1612651860,90,7.9986,124.2928,72.0,7.0
318,bentiu,17,SS,1612652164,26,9.2333,29.8333,64.85,6.64
319,soto la marina,8,MX,1612652133,70,23.7667,-98.2167,79.0,11.01
320,meulaboh,84,ID,1612652013,92,4.1363,96.1285,75.81,6.06
321,zolotukhino,63,RU,1612652164,91,52.0842,36.3772,-4.38,8.81
322,quito,75,EC,1612652108,60,-0.2299,-78.5249,69.8,14.97
323,inuvik,100,CA,1612652165,76,68.3499,-133.7218,-20.2,4.61
324,acarau,42,BR,1612651717,81,-2.8856,-40.12,78.82,12.03
325,avera,90,US,1612651871,93,33.194,-82.5271,44.6,4.61
326,necochea,0,AR,1612651879,73,-38.5473,-58.7368,64.99,3.0
327,yenagoa,0,NG,1612652165,86,4.9247,6.2642,79.84,4.43
328,sehithwa,100,BW,1612652165,91,-20.4667,22.7167,70.02,3.74
329,berlevag,100,NO,1612651898,93,70.8578,29.0864,26.55,25.55
330,havre-saint-pierre,90,CA,1612652165,100,50.2334,-63.5986,28.4,16.11
331,hvide sande,9,DK,1612652166,84,56.0045,8.1294,21.99,3.0
332,nakamura,0,JP,1612652166,82,32.9833,132.9333,45.28,3.69
333,cockburn town,40,TC,1612652103,73,21.4612,-71.1419,78.8,17.27
334,padang,20,ID,1612651889,94,-0.9492,100.3543,71.6,2.3
335,vanimo,97,PG,1612652141,86,-2.6741,141.3028,79.34,5.77
336,manado,40,ID,1612652167,100,1.487,124.8455,75.2,2.3
337,shunyi,0,CN,1612651944,47,40.125,116.6453,36.0,6.71
338,turukhansk,100,RU,1612651990,92,65.8167,87.9833,-2.6,14.43
339,kathmandu,20,NP,1612652014,93,27.7167,85.3167,37.4,3.44
340,villefranche-de-rouergue,75,FR,1612652167,93,44.3333,2.0,50.0,11.5
341,izumo,75,JP,1612652167,81,35.3667,132.7667,50.0,3.44
342,mponela,98,MW,1612652168,92,-13.5319,33.7401,63.01,3.65
343,houma,90,US,1612652168,88,29.5958,-90.7195,57.2,8.05
344,tateyama,0,JP,1612652149,65,34.9833,139.8667,44.6,3.44
345,macenta,95,GN,1612652168,53,8.5435,-9.471,75.65,0.94
346,pucallpa,40,PE,1612652168,62,-8.3791,-74.5539,86.0,2.3
347,sierre,20,CH,1612652168,70,46.2919,7.5356,46.99,2.3
348,mayumba,100,GA,1612652168,81,-3.432,10.6554,79.75,1.9
349,caravelas,100,BR,1612652013,88,-17.7125,-39.2481,77.5,9.15
